especie,latitude,longitude,ano,month,institutionCode,basisOfRecord
Megaptera novaeangliae,-22.986,-42.026,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.47435,-39.97749,2017,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.14465,-43.12873,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.49674,-37.8293,2013,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.9,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.127151,-43.151132,2023,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-14.741783,-38.980317,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.359167,-41.308611,2010,NA,PGS,HumanObservation
Megaptera novaeangliae,-17.97687,-38.88019,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-18.05601,-38.73884,2022,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.715556,-41.528333,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-23.08068,-43.18723,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.59265,-37.92152,2013,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-13.038333,-38.088333,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.990062000000002,-39.131874,2015,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.466667,-42.046944,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-24.80503,-41.24794,2022,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-25.15342,-46.24426,2022,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.005712,-42.010249,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.2688,-39.2189,1999,NA,UFPE,HumanObservation
Megaptera novaeangliae,-23.053554,-43.215504,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.92,-45.47,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.623386,-40.212708,2022,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.615754,-39.803467,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.855833,-45.530883,2021,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.603704,-40.193481,2020,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.965867,-45.373767,2023,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2016,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.786868,-38.898331,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.628527,-40.23468,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.47999,-39.85344,2017,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.63532,-37.92647,2015,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.9,2015,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.89793,-39.00956,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.525673,-40.080872,2021,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-11.069167,-36.609722,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-17.91551,-39.0099,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-13.037199,-38.510089,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.89122,-38.00245,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.9,2015,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.95606,-39.00972,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-22.987445,-42.020555,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-14.76345,-38.9422,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.385714,-40.109263,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.9,2014,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.96554,-38.76969,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.443983,-40.0816,2017,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.919755,-38.903933,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.90167,-38.7564,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.9567,-39.1406,2003,NA,UFPE,HumanObservation
Megaptera novaeangliae,-17.95,-38.8,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.65411,-37.97467,2017,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.105458,-43.172026,2023,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.6285,-37.93682,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2023,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.56412,-37.93535,2010,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.30792,-43.57828,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.98777,-38.86932,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.381667,-41.533889,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-11.317778,-36.093889,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-18.031497,-38.704353,2020,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2015,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-24.2511,-44.0414,2002,NA,UFPE,HumanObservation
Megaptera novaeangliae,-17.83183,-39.09,2020,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.60455,-37.94307,2016,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2004,1,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.91185,-38.99655,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2023,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.473055,-38.965912,2024,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.885747,-45.46643,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.8663,-39.03584,2020,11,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.9,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2024,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-25.4755,-43.2249,2001,NA,UFPE,HumanObservation
Megaptera novaeangliae,-14.73705,-38.93615,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.395452,-40.229889,2024,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.07772,-43.2471,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.496492,-39.814453,2020,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.95,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.9308,-39.00627,2020,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.881733,-45.465883,2018,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.97893,-38.31964,2013,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.010687,-42.007828,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-25.5342,-44.5983,2001,NA,UFPE,HumanObservation
Megaptera novaeangliae,-14.653987,-38.913915,2022,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.94,-45.31,2018,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.9266,-38.7645,2023,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.012637,-42.024229,2023,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.982225,-45.26373,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-27.790467,-46.817683,2023,NA,PGS,HumanObservation
Megaptera novaeangliae,-22.987445,-42.020555,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.7,-45.25,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.72685,-45.343767,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-14.772559,-38.9534,2023,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.90563,-38.97095,2020,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.36021,-37.518,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.96828,-38.74947,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-18.05304,-39.04525,2020,11,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.4394,-41.7354,2001,NA,UFPE,HumanObservation
Megaptera novaeangliae,-16.51,-39,2023,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.405294,-40.102844,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.93448,-39.00927,2021,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-18.01993,-38.86421,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-14.73,-38.955,2024,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-27.6732,-46.101983,2023,NA,PGS,HumanObservation
Megaptera novaeangliae,-16.45,-38.9,2014,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-22.987224,-42.021867,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.457,-39.01,2023,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-3.59901,-32.70076,1849,8,Wildlife Conservation Society,HumanObservation
Megaptera novaeangliae,-12.60892,-38.004939,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2021,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-25.2892,-44.7782,2001,NA,UFPE,HumanObservation
Megaptera novaeangliae,-17.901153,-38.93808,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2025,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.462242,-40.109007,2023,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.927777,-38.911855,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-25.043889,-42.465556,2011,NA,PGS,HumanObservation
Megaptera novaeangliae,-22.992286,-42.019805,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.61205,-37.96634,2013,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-18.4217,-39.687,2004,NA,UFPE,HumanObservation
Megaptera novaeangliae,-17.97988,-38.75014,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.9,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.826887,-45.231891,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-18.031497,-38.704353,2020,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-21.9353,-40.46,2004,NA,UFPE,HumanObservation
Megaptera novaeangliae,-23.475278,-41.304167,2010,NA,PGS,HumanObservation
Megaptera novaeangliae,-23.528617,-45.122813,2025,12,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.62562,-37.98994,2014,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.99,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.423667,-40.061933,2017,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.99664,-38.75725,2022,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.93254,-38.88496,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-13.12971,-38.45973,2015,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2025,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.27048,-38.81602,2020,NA,PGS,HumanObservation
Megaptera novaeangliae,-16.45,-39,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.109577,-43.24222,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-14.789821,-38.903961,2023,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.68926,-38.00422,2013,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-21.432222,-39.653333,2010,NA,PGS,HumanObservation
Megaptera novaeangliae,-20.512892,-40.155029,2017,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.3668,-37.5532,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.405822,-40.114958,2023,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-24.007,-45.416,2023,7,Happywhale.com,HumanObservation
